DATA,ANO,MES,Gasolina_Preco,IPCA_Mensal,IPCA_Acumulado,LAG_0,LAG_1,LAG_2,LAG_3,Tipo
2015-01-01,2015,1,3.0613,1.2400,1.2400,0.0000,,,,Histórico
2015-02-01,2015,2,3.3197,1.2200,2.4751,0.0844,0.0000,,,Histórico
2015-03-01,2015,3,3.3464,1.3200,3.8278,0.0080,0.0844,0.0000,,Histórico
2015-04-01,2015,4,3.3383,0.7100,4.5650,-0.0024,0.0080,0.0844,0.0000,Histórico
2015-05-01,2015,5,3.3301,0.7400,5.3388,-0.0025,-0.0024,0.0080,0.0844,Histórico
2015-06-01,2015,6,3.3307,0.7900,6.1709,0.0002,-0.0025,-0.0024,0.0080,Histórico
2015-07-01,2015,7,3.3280,0.6200,6.8292,-0.0008,0.0002,-0.0025,-0.0024,Histórico
2015-08-01,2015,8,3.3212,0.2200,7.0642,-0.0020,-0.0008,0.0002,-0.0025,Histórico
2015-09-01,2015,9,3.3117,0.5400,7.6424,-0.0029,-0.0020,-0.0008,0.0002,Histórico
2015-10-01,2015,10,3.5168,0.8200,8.5250,0.0619,-0.0029,-0.0020,-0.0008,Histórico
2015-11-01,2015,11,3.6131,1.0100,9.6211,0.0274,0.0619,-0.0029,-0.0020,Histórico
2015-12-01,2015,12,3.6689,0.9600,10.6735,0.0154,0.0274,0.0619,-0.0029,Histórico
2016-01-01,2016,1,3.7169,1.2700,12.0791,0.0131,0.0154,0.0274,0.0619,Histórico
2016-02-01,2016,2,3.7437,0.9000,13.0878,0.0072,0.0131,0.0154,0.0274,Histórico
2016-03-01,2016,3,3.7726,0.4300,13.5740,0.0077,0.0072,0.0131,0.0154,Histórico
2016-04-01,2016,4,3.7612,0.6100,14.2668,-0.0030,0.0077,0.0072,0.0131,Histórico
2016-05-01,2016,5,3.7259,0.7800,15.1581,-0.0094,-0.0030,0.0077,0.0072,Histórico
2016-06-01,2016,6,3.6976,0.3500,15.5612,-0.0076,-0.0094,-0.0030,0.0077,Histórico
2016-07-01,2016,7,3.6943,0.5200,16.1621,-0.0009,-0.0076,-0.0094,-0.0030,Histórico
2016-08-01,2016,8,3.6965,0.4400,16.6732,0.0006,-0.0009,-0.0076,-0.0094,Histórico
2016-09-01,2016,9,3.6904,0.0800,16.7665,-0.0017,0.0006,-0.0009,-0.0076,Histórico
2016-10-01,2016,10,3.7091,0.2600,17.0701,0.0051,-0.0017,0.0006,-0.0009,Histórico
2016-11-01,2016,11,3.7226,0.1800,17.2809,0.0036,0.0051,-0.0017,0.0006,Histórico
2016-12-01,2016,12,3.7755,0.3000,17.6327,0.0142,0.0036,0.0051,-0.0017,Histórico
2017-01-01,2017,1,3.8143,0.3800,18.0797,0.0103,0.0142,0.0036,0.0051,Histórico
2017-02-01,2017,2,3.7922,0.3300,18.4694,-0.0058,0.0103,0.0142,0.0036,Histórico
2017-03-01,2017,3,3.7388,0.2500,18.7655,-0.0141,-0.0058,0.0103,0.0142,Histórico
2017-04-01,2017,4,3.6834,0.1400,18.9318,-0.0148,-0.0141,-0.0058,0.0103,Histórico
2017-05-01,2017,5,3.6672,0.3100,19.3005,-0.0044,-0.0148,-0.0141,-0.0058,Histórico
2017-06-01,2017,6,3.6016,-0.2300,19.0261,-0.0179,-0.0044,-0.0148,-0.0141,Histórico
2017-07-01,2017,7,3.6070,0.2400,19.3118,0.0015,-0.0179,-0.0044,-0.0148,Histórico
2017-08-01,2017,8,3.8150,0.1900,19.5385,0.0577,0.0015,-0.0179,-0.0044,Histórico
2017-09-01,2017,9,3.9004,0.1600,19.7297,0.0224,0.0577,0.0015,-0.0179,Histórico
2017-10-01,2017,10,3.9231,0.4200,20.2326,0.0058,0.0224,0.0577,0.0015,Histórico
2017-11-01,2017,11,4.0293,0.2800,20.5693,0.0271,0.0058,0.0224,0.0577,Histórico
